Timestamp,1)What is your opinion regarding adidas ?,2)What is your opinion regarding reebok ?,3)What is your opinion regarding puma ?,4)What is your opinion regarding sckechers?,5)What is your opinion regarding benetton ?,6)What is your opinion regarding only ?,7)What is your opinion regarding h&m ?,8)What is your opinion regarding bata ?,9)What is your opinion regarding wrogn ?,10)What is your opinion regarding Lee ?
2021/10/29 8:11:37 PM GMT+5:30,I love it. The cloth are so soft and long lasting,Good,I am in love with this brand. The traditional wear is also very nice,I love it deo so much. It's long lasting,Jeans are best,Jeans are awsome,For western cloth it is heaven,My father is love so much,Not yet use,Not like that much
2021/10/29 8:16:02 PM GMT+5:30,Hd,Dhud,Fhidnd,Bdijjd,Djjdhhd,Xhdujd,Dhdjdndn,Bxjjdnd,Hdjxjd,Hchxjdj
2021/10/29 8:21:56 PM GMT+5:30,It is very good company,Dont like this its product aree expensive,Nice products are come from this .,Awesome,It's a best company,Bad products,Cheap products,Authentic company and very good,Nice company,It's an amazing company I love to wear it's cloths
2021/10/29 8:23:25 PM GMT+5:30,Never used,Good choice,No experience,No experience,Comfortable while using,No experience,Good,Always have good choice,Best than best ,Good 
2021/10/29 8:25:55 PM GMT+5:30,Good in casual wear,Best in sports wear,Luxurious lifestyle,Luxurious lifestyle,Shirts are too good,Good for jeans,Best casual wear,Always ahead in party wear.,Good quality of sports wear,One of the best brand for jeans.
2021/10/29 8:26:53 PM GMT+5:30,Not like that much,In love with is shoe,Best for traditional,Deo are best,Not like,Best for shorts and jeans,Love with its western,Not yse yet,Good,Best
2021/10/29 8:30:09 PM GMT+5:30,Love,Not use,Best,Better,Good,Not like,Best,No,Hare it,Best
2021/10/29 8:34:52 PM GMT+5:30,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
2021/10/29 8:36:15 PM GMT+5:30,Best,Great,Nice,Nice,One of the best ,Nice,Good,Best,Nice,Nice 
2021/10/29 8:36:32 PM GMT+5:30,Great quality products.,Shoes are worth,Great ethnic,Costly but always trendy,Jeans size are good . Fits good,Good,Kurtis are nice,Quality with quantity,Not so good,Great
2021/10/29 8:38:14 PM GMT+5:30,H&M,Nike products are good,zara,Gucci,Levis,pepejeans london,Pantaloons,raymond,adidas,lee
2021/10/29 8:39:10 PM GMT+5:30,Best,Not yet use,Good,Love it,Awesome,Hate it,Best,Not yet use,Good,Hate it
2021/10/29 8:41:00 PM GMT+5:30,Good,Best,Better,Hate,Love,Awesome,Hate it,Love it,Good shoes,Jeans are best
2021/10/29 8:41:44 PM GMT+5:30,Love,Hate,Good,Bad,Best,Better,Hate ,Not use,Like it,Good
2021/10/29 8:42:56 PM GMT+5:30,Best in code,Good,Best,Better,Hate,Love,Not yet use,Best,Love ,Hate
2021/10/29 8:46:27 PM GMT+5:30,Good,Good,Fantastic,Fantastic,Fantastic,Fantastic,Fantastic,Fantastic,Fantastic,Fantastic
2021/10/29 8:47:25 PM GMT+5:30,Fantastic,Fantastic,Fantastic,Fantastic,Fantastic,Fantastic,Fantastic,Fantastic,Fantastic,Fantastic
2021/10/29 8:48:05 PM GMT+5:30,Fantastic,Fantastic,Fantastic,Fantastic,Fantastic,Fantastic,Fantastic,Fantastic,Fantastic,Fantastic
2021/10/29 8:48:28 PM GMT+5:30,nice outfit ideas,comfortable ,expensive,excellent ,comfortable ,nice,good,tailored is amazing ,comfortable ,good
2021/10/29 8:53:56 PM GMT+5:30,Never used the product ,Never used it too,Never used it too,Never used it too,Never used it too,Never used it too,Quite good product ,Decent brand ,Nice brand,Never used it too
2021/10/29 8:56:48 PM GMT+5:30,worst,Excellent,good,excellent,excellent,good,good,excellent,good,worst
2021/10/29 8:57:08 PM GMT+5:30,Good,Loved,Ohk,Dont know ,Good,Not good,Awesome,Dont know,Good ,Better
2021/10/29 8:59:55 PM GMT+5:30,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
2021/10/29 9:00:20 PM GMT+5:30,Good,Good,Good,Not use yet,Good,Good,Good,Good,Good,Good
2021/10/29 9:00:42 PM GMT+5:30,Good,Bad,Good,Bad,Good,Bad,Good,Bad,Good,Bad
2021/10/29 9:01:58 PM GMT+5:30,H&M has good quality clothes but higher prices not affordable to all.,Best athletic footwear around the world and also stylish,It has latest trends of products but it's rather expensive,It is a luxurious brand having different style sense,"This brand is trustable because of it's quality,style, fit and also affordable prices",This brand is trendy as well as durable having affordable prices,It is easy to buy and also has comfortable products,Large big name brand famous for its fabric manufacturer and trustable brand,Great brand having comfortable designed products,One of the famous brand and stylish fit in clothes and reasonable price
2021/10/29 9:02:44 PM GMT+5:30,Nice ,Nice ,Never used ,Never used,Good,Excellent,Nice ,Best,Excellent ,Good
2021/10/29 9:03:25 PM GMT+5:30,Best ,Good,Never used ,Never used ,Good,Excellent,Excellent,Nice,Good,Perfect
2021/10/29 9:04:10 PM GMT+5:30,Perfect,Excellent,Excellent,Excellent,Never used ,Price to high,Excellent,Good,Perfect,Good
2021/10/29 9:04:43 PM GMT+5:30,Good,Good,Good,Never used,Never used,Good,Good,Perfect,Excellent,Nice
2021/10/29 9:07:37 PM GMT+5:30,Nice clothes.,Best shoe company.,Nice,Nice,Nice,Nice,Nice,Nice,Nice,Nice
2021/10/29 9:08:43 PM GMT+5:30,Nice brand and Comfortable,Relax to soul,Not used yet but heard a lot,Its perfume has very good Fregnance,Good brand,Best Jeans i prefer it,Has a good variety,Best quality shirts,Nice shoes brand,.. 
2021/10/29 9:14:47 PM GMT+5:30,Nice,Good,Better,Best,Nice,Good,Good ,Best,Best,Good
